服务分类,日期,销售额,利润,同比销售额,同比利润,同比利润季度增长率,同比销售额季度增长率,第一季度预测销售额,第一季度预测利润
Commercial,2017-03-31,11789.0,101.86000000000004,0.0,0.0,,,12823.624068838311,-5.838253545262148
Commercial,2017-06-30,10470.819999999998,259.95,0.0,0.0,,,12823.624068838311,-5.838253545262148
Commercial,2017-09-30,13417.78,287.2699999999999,0.0,0.0,,,12823.624068838311,-5.838253545262148
Commercial,2017-12-31,6339.16,-18.25000000000002,0.0,0.0,,,12823.624068838311,-5.838253545262148
Commercial,2018-03-31,21781.579999999994,445.55,9992.579999999994,343.68999999999994,337.4140977812682,84.76189668334884,12823.624068838311,-5.838253545262148
Commercial,2018-06-30,7195.54,104.06,-3275.279999999998,-155.89,-59.96922485093287,-31.280071665829407,12823.624068838311,-5.838253545262148
Commercial,2018-09-30,9905.359999999995,118.61,-3512.420000000004,-168.6599999999999,-58.71131687959061,-26.177355717562843,12823.624068838311,-5.838253545262148
Commercial,2018-12-31,4544.719999999999,39.6,-1794.4400000000005,57.850000000000016,316.9863013698628,-28.307220515020926,12823.624068838311,-5.838253545262148
Commercial,2019-03-31,15816.57,83.99000000000004,-5965.009999999995,-361.56,-81.14914151049264,-27.38557074372013,12823.624068838311,-5.838253545262148
Commercial,2019-06-30,14366.659999999998,-237.50000000000003,7171.119999999998,-341.56000000000006,-328.23371132039216,99.66062310820313,12823.624068838311,-5.838253545262148
Commercial,2019-09-30,12873.74,76.65000000000002,2968.380000000003,-41.96,-35.376443807436125,29.96741158322367,12823.624068838311,-5.838253545262148
Commercial,2019-12-31,8112.700000000001,-5.070000000000007,3567.9800000000014,-44.67,-112.80303030303033,78.50824693270437,12823.624068838311,-5.838253545262148
Commercial,2020-03-31,11985.97,143.41000000000005,-3830.6,59.420000000000016,70.74651744255267,-24.21890460447493,12823.624068838311,-5.838253545262148
Commercial,2020-06-30,10504.750000000002,175.51000000000002,-3861.909999999996,413.0100000000001,173.89894736842103,-26.88105655733481,12823.624068838311,-5.838253545262148
Commercial,2020-09-30,12418.429999999998,81.18999999999997,-455.3100000000013,4.539999999999949,5.923026744944486,-3.5367344687713227,12823.624068838311,-5.838253545262148
Commercial,2020-12-31,7151.279999999999,-98.39999999999998,-961.420000000002,-93.32999999999996,1840.828402366861,-11.850801829230734,12823.624068838311,-5.838253545262148
Public,2017-03-31,14503.52,161.96,0.0,0.0,,,10109.344882960671,44.2780671776688
Public,2017-06-30,9860.03,76.58,0.0,0.0,,,10109.344882960671,44.2780671776688
Public,2017-09-30,15923.85,-23.310000000000013,0.0,0.0,,,10109.344882960671,44.2780671776688
Public,2017-12-31,4515.410000000001,71.53,0.0,0.0,,,10109.344882960671,44.2780671776688
Public,2018-03-31,7594.559999999999,44.83,-6908.960000000001,-117.13,-72.32032600642134,-47.63643584453982,10109.344882960671,44.2780671776688
Public,2018-06-30,9443.309999999998,95.77,-416.7200000000012,19.19,25.05876207887177,-4.226356309260735,10109.344882960671,44.2780671776688
Public,2018-09-30,13444.42,107.55,-2479.4299999999985,130.86,561.3899613899611,-15.570543555735572,10109.344882960671,44.2780671776688
Public,2018-12-31,9797.749999999998,-32.099999999999994,5282.339999999997,-103.63,-144.87627568852227,116.9847256395321,10109.344882960671,44.2780671776688
Public,2019-03-31,16462.55,194.5300000000001,8867.99,149.7000000000001,333.9281730983719,116.7676600092698,10109.344882960671,44.2780671776688
Public,2019-06-30,11008.86,-20.28,1565.550000000003,-116.05,-121.17573352824476,16.578403123481102,10109.344882960671,44.2780671776688
Public,2019-09-30,7479.48,76.05999999999999,-5964.94,-31.490000000000023,-29.27940492794051,-44.367402982055005,10109.344882960671,44.2780671776688
Public,2019-12-31,3390.1800000000003,83.81,-6407.569999999998,115.91,361.0903426791278,-65.39838228164628,10109.344882960671,44.2780671776688
Public,2020-03-31,16491.12,26.87999999999999,28.56999999999971,-167.6500000000001,-86.18207988485067,0.1735454106441572,10109.344882960671,44.2780671776688
Public,2020-06-30,7882.920000000001,-62.370000000000005,-3125.94,-42.09,207.5443786982249,-28.39476567055989,10109.344882960671,44.2780671776688
Public,2020-09-30,9144.98,57.08000000000001,1665.499999999999,-18.979999999999976,-24.953983697081224,22.267590795082,10109.344882960671,44.2780671776688
Public,2020-12-31,6583.71,321.68,3193.53,237.87,283.82054647416777,94.1994230394846,10109.344882960671,44.2780671776688
Residential,2017-03-31,21296.76,285.41,0.0,0.0,,,14956.489752690657,149.84171190232226
Residential,2017-06-30,12476.05,71.73000000000003,0.0,0.0,,,14956.489752690657,149.84171190232226
Residential,2017-09-30,10694.999999999998,-217.1,0.0,0.0,,,14956.489752690657,149.84171190232226
Residential,2017-12-31,7358.259999999999,-54.77,0.0,0.0,,,14956.489752690657,149.84171190232226
Residential,2018-03-31,16145.589999999998,266.2900000000001,-5151.17,-19.119999999999948,-6.699134578325898,-24.187575950520177,14956.489752690657,149.84171190232226
Residential,2018-06-30,15511.94,435.8699999999999,3035.8899999999994,364.1399999999999,507.6537013801753,24.333743452454897,14956.489752690657,149.84171190232226
Residential,2018-09-30,8877.74,203.6,-1817.2599999999984,420.7,193.78166743436205,-16.99167835437119,14956.489752690657,149.84171190232226
Residential,2018-12-31,6328.08,139.27999999999997,-1030.1799999999994,194.04999999999995,354.2997991601241,-14.000320727998188,14956.489752690657,149.84171190232226
Residential,2019-03-31,11309.21,205.07,-4836.379999999997,-61.220000000000056,-22.98997333733901,-29.9548049962869,14956.489752690657,149.84171190232226
Residential,2019-06-30,10703.18,72.88,-4808.76,-362.9899999999999,-83.27941817514396,-31.000377773508664,14956.489752690657,149.84171190232226
Residential,2019-09-30,12988.599999999997,362.24,4110.859999999997,158.63999999999996,77.91748526522592,46.3052533640318,14956.489752690657,149.84171190232226
Residential,2019-12-31,5884.08,154.74,-444.0,15.460000000000036,11.09994256174615,-7.01634619031365,14956.489752690657,149.84171190232226
Residential,2020-03-31,17233.42,430.61999999999983,5924.209999999997,225.5499999999998,109.98683376408044,52.383941937588894,14956.489752690657,149.84171190232226
Residential,2020-06-30,8980.999999999998,-5.2000000000000055,-1722.180000000002,-78.08,-107.13501646542262,-16.090358192611934,14956.489752690657,149.84171190232226
Residential,2020-09-30,10886.900000000003,44.240000000000016,-2101.699999999993,-317.99999999999994,-87.78710247349822,-16.18111266803192,14956.489752690657,149.84171190232226
Residential,2020-12-31,6635.059999999999,-109.57000000000002,750.9799999999987,-264.31000000000006,-170.8090991340313,12.762912808799316,14956.489752690657,149.84171190232226
